,Reviews
0,"Wish I had read the reviews before we stopped for dinner.  When we arrived there were only two other tables of patrons and a handful of people at the bar.   They promptly took our food order, but we waited 50 minutes for it to be delivered.   It was only a burger and a pork tenderloin sandwich.   Not sure why we didn't leave other than the fact we were watching football.  Food was just ok.

The people at the bar were so loud, offensive and obnoxious that I felt uncomfortable for an older couple that was dining.    What kind of management allows this kind of behavior?   

This place won't last."
1,"Literally, the worst Taco Bell I have ever been to. The restaurant is filthy, the service is awful, and they didn't make any of our order correctly, and really, how hard is that?  I won't be back and if I were you I would find a different place to go."
2,"Slow service with an attitude, filthy dining and restrooms. Figured the first time they were having a bad day. Because I was craving Taco Bell thought I would give this location a second shot. There were two customers in line ahead of me and after waiting ten minutes to order and looking around at the state of the place I should have walked out. Guess I'm a sucker for punishment. Take notice and get this place shaped up !"
3,"Rude, inattentive, uneducated and they always make you feel that you are bothering them. I have started using mobile order because it's one less idiot to deal within the chain. When they start making $15 an hour we will be ordering from kiosks and maybe dealing with one person."
4,"I stopped going this BK and usually avoid all BK. 
I don't know if all BK are like this one or is this location uniquely bad. Whenever you pass by you never see many cars so you get tricked into thinking that you could get in and out fast. When they do answer to take your order, its never friendly or welcoming. Once i thought i heard someone say ""Yea, what u want"" but i will give the benefit of the doubt i miss heard. Nothing i order is complicated or special request so you would think it wouldn't take long. It seems as if they don't start until you have paid, because they ask for me to pull around. I understand if they were busy or off hours or something reasonable, but no. You can hear them holding conversations, that if were management they would be fired on the spot. You get a sense of not being welcomed as if your inconveniencing them. Then after waiting, they bring your order to your car and say nothing. No sorry for the wait, or bla bla.
I have learned the hard way to not leave until you check your food to make sure its 100%. 9 out of 10 times my order is wrong in some way. Either something is missing or they ignored my request all together. 
You then decide is it worth the possible wait time and rude service or just take it and leave. 
The last time i left i swore to never go back.
If someone from management reads this, if you want to know why your store is dying. Look at your employees first, then quality control."
5,"Oh, Heck No! We ordered 2 pizzas tonight: one new hand tossed and one thin and crispy. And I do use the word crispy lightly. Both these pizzas were limp and soggy. When we lifted the pieces from the boxes the tips pointed straight down at the table--and not because of the weight of the ingredients. Those were just ordinary. But, this thin and ""crispy"" crust was very crispy on the very outer edge, but wallpaper paste everywhere else. The hand tossed is a new product and I thought maybe they just hadn't gotten it perfected yet. It also was soggy and did a nose-dive to the table when lifted. Unfortunately, it was already after nine pm when they arrived and we decided to just eat what we could and call it a night. But, I thought about it and decided that maybe they didn't know and if everyone was silent, they would lose business and people would have bad experiences. So, I called and spoke to David, who identified himself as the manager on duty. I told him we had gotten pizza and that I just wanted to give him some feedback. He was very nice, polite and pleasant. I liked him. Until. Until he said that he had pulled up my order and that there were 6 toppings on one pizza and 9 toppings on the other pizza and so with so many toppings, it's hard for them to know how long to cook the pizzas. I thought about that a second and asked, ""so it's my fault for ordering too many toppings""? He said no and then explained again that with that many toppings it's too hard to judge how long to cook the pizzas. I told him then it should say on the website (I ordered online) that they don't recommend more than however-many toppings. He explained the problem to me again and I told him Dominos can cook a crispy pizza crust perfectly--and do a pretty good hand tossed, too. I said maybe I should call them and find out how to do it and call him back and tell him. I mean, how ridiculous! I asked for nothing comped, nothing like that. I was just giving the feedback and ended up being a bit flip with him and sitting here typing this because I'm mad instead of sleeping. With delivery and tip, I paid $30 for food that was barely eaten and will probably be thrown away in a few days. It'll dry out in the refrigerator, so maybe I can have it crispy after all. What idiocy.

I told him the Yelp review would be up in about an hour, so ""Hi, David!"" and I contacted corporate, too."
6,ive tried going here four times with no success because the drive tru takes so long that i have pulled away every single time. great job idiots!
7,"The owner of Popeyes used to send his mother to the drive thru once a week and report irregularities.  This bk must be a corporate store because of corporate like employees serving a human population.
Soggy (or oil tainted) tater tots, but everything else is made fresh.  That means EVERY customer has to ""please pull around because they are so fresh they are just coming out of the oven"".   Then they forget caramel in a specialty coffee, or a drink that goes with the combo they are holding.  Breakfast is a disorganized mess.  Definitely not a place you want to go when you are in a hurry.  It's a slow food, or pull around & wait establishment....would not recommend to anyone for breakfast.  Maybe it was due to the Monday's????"
8,"Why does it say online. Open 24/7 everyday but, there always saying the store is closed at night. Even the drive thru is closed 3 days a week at night. Also the staff is ignorant. #BlackOwnedBusinesses"
9,"Stood in line (2nd in line) for 20 minutes one guy in front of me waiting on the cashier , the cashier was just standing there smiling taking the sweetest time ever possible I could have gotten to a log john silvers in Texas before he pressed a button on the register. The food was poorly made thrown on a plate and served after another 20 minutes of waiting. I could have went to the gulf and caught my own fish to filet them myself quicker than they threw  this ""fast food"" together. Fish wasn't the same as the LJS in goodlettsville before it shut down. The one in goodlettsville was the best one ever! There should be more of the around. Captain d's is a joke compared to LJS!"
10,"This has got to be the worst experience we've had in a very long time. First of all, they don't deliver to our home. But we were in the mood for stuffed crust, so we ordered online for pickup. We got our email confirmation for order complete time at 5:30, and I noticed one of our  pizzas was wrong so I called right away. The girl I spoke to on the phone confirmed she has changed it. So when my husband gets there at 5:35. the pizzas aren't even ready. And surprise, surprise the order is WRONG. There were only 2 people working, and he didn't want to wait. He gets home, and the pizzas are borderline cold, like they've been sitting there. It was just a horrible experience and will never order/eat at a Pizza Hut again. Bye, Felicia!"
11,"The two waiters/cooks were sitting down in the dining area when we arrived. Noticed there wasn't any else and that should have been a red flag. The waiter was loud and awkward. Their phone rang multiple times and they ignored it. They were out of tea, but brewed some. Noticed a lot of tables had not been wiped down. Others walked in and waited,  but left after not being acknowledged. Then noticed the section that was closed off awaiting vacuuming. Staff were loud about their job dissatisfaction. We should have left, but I was hungery. Brought out one pizza, no silverware or napkins. Had to ask for them specifinally. Food was okay. They finally answered the phone and talked with a customer who never received their order. Pepsi was off,  so they gave out litre bottles.  This was the strangest, most bizarre place I've ever visited. They lied to customers calling in about how busy they were and openly complained about customers. It was intriguing to watch, but never going to eat here ever again."
12,You get to wait 20 minutes even when first in line at the drive thru window. Now worth it - even of their fries are die-worthy!
